                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2253,                 3.7132,                 1.3216,                0.00329,                0.98765,                0.28072,                0.20316,                      0,                    inf,                      0,                 0.0847,                 0.0017,                 0.0017
                      1,                0.87423,                  2.338,                 1.0371,                      1,                0.10952,                0.93932,                0.74166,                      0,                    inf,                      0,               0.068465,              0.0034654,              0.0034654
                      2,                0.92718,                 1.4661,                 1.0337,                0.00333,                      1,                0.95569,                0.73762,                      0,                    inf,                      0,               0.052195,              0.0051951,              0.0051951
                      3,                0.98401,                 1.2758,                 1.0635,                0.97002,                0.79899,                0.94425,                0.66938,                      0,                    inf,                      0,               0.035889,              0.0068891,              0.0068891
                      4,                0.97737,                 1.1674,                 1.0426,                0.91048,                 0.8642,                0.92048,                0.72911,                      0,                    inf,                      0,               0.019548,              0.0085476,              0.0085476
                      5,                0.98061,                 1.1649,                 1.1257,                 0.9513,                0.92593,                0.97512,                0.70877,                      0,                    inf,                      0,               0.009505,               0.009505,               0.009505
                      6,                0.98906,                 1.1504,                 1.0568,                 0.8826,                0.95062,                0.94817,                0.73135,                      0,                    inf,                      0,               0.009505,               0.009505,               0.009505
                      7,                 1.0041,                 1.1467,                 1.1086,                0.89517,                0.91358,                0.95001,                0.70779,                      0,                    inf,                      0,               0.009406,               0.009406,               0.009406
                      8,                0.98653,                 1.0656,                 1.0991,                0.94057,                0.90123,                0.94384,                0.69434,                      0,                    inf,                      0,               0.009307,               0.009307,               0.009307
                      9,                0.99787,                 1.0595,                 1.0839,                0.85401,                0.91358,                0.90911,                0.70018,                      0,                    inf,                      0,               0.009208,               0.009208,               0.009208
                     10,                 1.0008,                0.95622,                 1.0886,                0.94521,                0.95062,                 0.9769,                 0.7445,                      0,                    inf,                      0,               0.009109,               0.009109,               0.009109
                     11,                 1.0074,                 0.9653,                   1.11,                0.93873,                0.96296,                0.97687,                0.75709,                      0,                    inf,                      0,                0.00901,                0.00901,                0.00901
                     12,                 1.0131,                 0.9873,                 1.1051,                 0.8163,                 0.8778,                0.92696,                0.69584,                      0,                    inf,                      0,               0.008911,               0.008911,               0.008911
                     13,                  0.977,                0.93207,                 1.0719,                0.96441,                0.92593,                0.96135,                0.71482,                      0,                    inf,                      0,               0.008812,               0.008812,               0.008812
                     14,                0.92632,                0.88264,                 1.0672,                0.95112,                0.96092,                0.97382,                0.72703,                      0,                    inf,                      0,               0.008713,               0.008713,               0.008713
                     15,                0.95628,                0.86368,                 1.0855,                0.91344,                  0.912,                0.96224,                0.71471,                      0,                    inf,                      0,               0.008614,               0.008614,               0.008614
                     16,                 0.9502,                0.86319,                 1.0817,                0.94569,                0.91358,                0.95275,                0.73745,                      0,                    inf,                      0,               0.008515,               0.008515,               0.008515
                     17,                0.92797,                0.86653,                 1.0581,                0.97431,                0.93628,                0.97524,                 0.7642,                      0,                    inf,                      0,               0.008416,               0.008416,               0.008416
                     18,                  0.927,                 0.8144,                  1.058,                0.96543,                0.93827,                0.97389,                  0.777,                      0,                    inf,                      0,               0.008317,               0.008317,               0.008317
                     19,                0.89761,                0.79875,                 1.0413,                 0.9726,                0.96296,                0.98269,                0.77343,                      0,                    inf,                      0,               0.008218,               0.008218,               0.008218
                     20,                0.89233,                0.77375,                 1.0435,                0.99309,                0.96296,                 0.9836,                0.77062,                      0,                    inf,                      0,               0.008119,               0.008119,               0.008119
                     21,                0.88607,                0.76074,                 1.0303,                0.91773,                0.97531,                0.97193,                0.76026,                      0,                    inf,                      0,                0.00802,                0.00802,                0.00802
                     22,                0.90797,                 0.7686,                 1.0429,                0.95096,                0.95774,                0.97608,                0.78483,                      0,                    inf,                      0,               0.007921,               0.007921,               0.007921
                     23,                0.90141,                0.71961,                 1.0513,                0.98718,                0.95094,                0.97828,                0.77929,                      0,                    inf,                      0,               0.007822,               0.007822,               0.007822
                     24,                 0.8278,                0.69599,                 1.0183,                0.97522,                0.97178,                0.98284,                0.79697,                      0,                    inf,                      0,               0.007723,               0.007723,               0.007723
                     25,                 0.8432,                0.68508,                 1.0027,                0.97483,                0.95634,                0.98302,                0.81121,                      0,                    inf,                      0,               0.007624,               0.007624,               0.007624
                     26,                0.84544,                0.67533,                  1.018,                0.97847,                0.97531,                0.98444,                0.79369,                      0,                    inf,                      0,               0.007525,               0.007525,               0.007525
                     27,                0.86036,                0.68222,                 1.0171,                0.97557,                  0.986,                0.98403,                0.79774,                      0,                    inf,                      0,               0.007426,               0.007426,               0.007426
                     28,                0.87965,                0.69332,                 1.0432,                0.98113,                0.97531,                0.98408,                  0.799,                      0,                    inf,                      0,               0.007327,               0.007327,               0.007327
                     29,                0.81934,                0.65229,                 1.0012,                0.98341,                0.96296,                0.98169,                0.80308,                      0,                    inf,                      0,               0.007228,               0.007228,               0.007228
                     30,                0.83538,                0.68089,                 1.0282,                0.97526,                0.97341,                0.98478,                0.76508,                      0,                    inf,                      0,               0.007129,               0.007129,               0.007129
                     31,                0.85583,                 0.6593,                 1.0048,                 0.9729,                0.98765,                 0.9842,                0.81057,                      0,                    inf,                      0,                0.00703,                0.00703,                0.00703
                     32,                0.79604,                0.63465,                 1.0193,                0.98763,                0.98581,                0.98495,                 0.8217,                      0,                    inf,                      0,               0.006931,               0.006931,               0.006931
                     33,                0.80476,                0.64406,                 1.0086,                0.99517,                0.97531,                0.98475,                0.79323,                      0,                    inf,                      0,               0.006832,               0.006832,               0.006832
                     34,                0.79373,                0.62773,                0.98778,                0.98765,                0.98708,                0.98388,                 0.8018,                      0,                    inf,                      0,               0.006733,               0.006733,               0.006733
                     35,                 0.8056,                0.63335,                0.98912,                0.99617,                0.97531,                0.98503,                0.81476,                      0,                    inf,                      0,               0.006634,               0.006634,               0.006634
                     36,                0.78821,                0.63688,                0.99576,                 0.9739,                0.98765,                0.98505,                0.79445,                      0,                    inf,                      0,               0.006535,               0.006535,               0.006535
                     37,                0.83355,                0.63124,                 1.0036,                0.98663,                0.97531,                0.98843,                0.80641,                      0,                    inf,                      0,               0.006436,               0.006436,               0.006436
                     38,                0.78639,                0.62625,                0.98561,                0.98446,                0.97531,                0.98461,                0.82618,                      0,                    inf,                      0,               0.006337,               0.006337,               0.006337
                     39,                0.76853,                 0.5765,                0.98877,                 0.9858,                0.98765,                  0.985,                0.79449,                      0,                    inf,                      0,               0.006238,               0.006238,               0.006238
                     40,                0.75993,                0.56539,                0.98787,                0.98763,                0.98592,                0.98525,                0.82213,                      0,                    inf,                      0,               0.006139,               0.006139,               0.006139
                     41,                0.74981,                0.56689,                0.97971,                0.98706,                0.96296,                0.98482,                0.81529,                      0,                    inf,                      0,                0.00604,                0.00604,                0.00604
                     42,                0.75045,                0.56127,                0.97781,                0.98762,                0.98462,                0.98531,                0.83172,                      0,                    inf,                      0,               0.005941,               0.005941,               0.005941
                     43,                0.76922,                0.60381,                 1.0185,                0.95408,                0.97531,                0.98374,                0.78175,                      0,                    inf,                      0,               0.005842,               0.005842,               0.005842
                     44,                0.77272,                0.58979,                0.98873,                 0.9755,                0.98313,                0.98379,                0.80132,                      0,                    inf,                      0,               0.005743,               0.005743,               0.005743
                     45,                0.76972,                0.57403,                 1.0062,                0.98758,                0.98186,                0.97953,                0.81068,                      0,                    inf,                      0,               0.005644,               0.005644,               0.005644
                     46,                0.72636,                0.56469,                0.96925,                0.98381,                0.96296,                0.97427,                0.82059,                      0,                    inf,                      0,               0.005545,               0.005545,               0.005545
                     47,                0.73635,                0.56284,                0.99572,                0.97207,                0.96296,                0.98209,                0.83529,                      0,                    inf,                      0,               0.005446,               0.005446,               0.005446
                     48,                0.69731,                0.52672,                0.95764,                0.98743,                0.97001,                0.98423,                0.84428,                      0,                    inf,                      0,               0.005347,               0.005347,               0.005347
                     49,                0.72947,                0.55584,                0.97188,                0.99751,                0.97531,                0.98482,                0.83802,                      0,                    inf,                      0,               0.005248,               0.005248,               0.005248
                     50,                0.70577,                0.55532,                0.97264,                0.99768,                0.97531,                0.98532,                 0.8335,                      0,                    inf,                      0,               0.005149,               0.005149,               0.005149
                     51,                0.69665,                0.52582,                0.96075,                0.98658,                0.97531,                0.98509,                0.82585,                      0,                    inf,                      0,                0.00505,                0.00505,                0.00505
                     52,                0.73031,                0.54358,                0.97414,                0.98764,                0.98655,                0.98578,                 0.8218,                      0,                    inf,                      0,               0.004951,               0.004951,               0.004951
